trial_number,params,value,state
0,"{'latent_space_g': 408, 'gen_noise': 0.5970465509101686, 'learning_rate': 0.00737100229791153, 'num_epochs': 4, 'weights_regularization': 0.013103297384874616}",0.4533812055985133,COMPLETE
1,"{'latent_space_g': 842, 'gen_noise': 0.13715902078995013, 'learning_rate': 0.0003981708794581391, 'num_epochs': 7, 'weights_regularization': 0.020509982399265114}",0.4300379529595375,COMPLETE
2,"{'latent_space_g': 1681, 'gen_noise': 0.31737843232443586, 'learning_rate': 0.005350882779515162, 'num_epochs': 2, 'weights_regularization': 0.0964671360900925}",0.4593513111273448,COMPLETE
3,"{'latent_space_g': 2623, 'gen_noise': 0.5478537191909821, 'learning_rate': 0.005015198262675226, 'num_epochs': 2, 'weights_regularization': 3.7130714233383264e-06}",0.4592992017666499,COMPLETE
4,"{'latent_space_g': 1960, 'gen_noise': 0.5311982061633617, 'learning_rate': 0.001603410358210425, 'num_epochs': 6, 'weights_regularization': 0.00038380492729485994}",0.37359558294216794,COMPLETE
5,"{'latent_space_g': 1865, 'gen_noise': 0.6380774176129038, 'learning_rate': 0.0024614316370887793, 'num_epochs': 8, 'weights_regularization': 5.298222678230566e-06}",0.3579538092017174,COMPLETE
6,"{'latent_space_g': 2075, 'gen_noise': 0.2880190367148782, 'learning_rate': 0.0020174308675998073, 'num_epochs': 9, 'weights_regularization': 0.0018512173269615822}",0.443019079665343,COMPLETE
7,"{'latent_space_g': 1495, 'gen_noise': 0.1385257502583824, 'learning_rate': 0.00030549829292935956, 'num_epochs': 1, 'weights_regularization': 2.9210569947241627e-06}",0.44954530398050946,COMPLETE
8,"{'latent_space_g': 730, 'gen_noise': 0.5759193395655164, 'learning_rate': 0.00277611797574721, 'num_epochs': 3, 'weights_regularization': 2.1010113276362462e-06}",0.3998884931206703,COMPLETE
9,"{'latent_space_g': 2763, 'gen_noise': 0.30953051290097944, 'learning_rate': 0.0039830587186261285, 'num_epochs': 10, 'weights_regularization': 1.0316304063519926e-06}",0.40558136254549026,COMPLETE
10,"{'latent_space_g': 3402, 'gen_noise': 0.6754040722343269, 'learning_rate': 0.00010551144940982636, 'num_epochs': 8, 'weights_regularization': 1.9763432587556966e-05}",0.3548585946361224,COMPLETE
